length
9
5
9
2
2
11
21
4
8
4
12
12
10
4
4
4
2
8
13
9
21
5
5
10
8
25
22
14
3
5
3
4
5
3
4
14
6
6
9
9
9
9
9
9
9
9
2
2
2
2
8
7
9
7
7
12
5
4
4
4
7
13
13
4
19
67
11
6
9
4
16
4
69
26
6
5
4
20
10
9
4
5
11
4
20
15
27
31
9
15
20
14
12
5
11
11
11
19
12
16
12
11
7
11
4
8
8
13
24
5
30
42
5
10
10
4
6
9
12
6
5
10
7
8
2
20
9
5
19
10
4
6
9
29
7
6
4
6
4
11
10
14
10
5
2
7
9
9
9
9
3
3
5
13
11
8
3
8
3
14
3
3
14
26
10
4
16
6
4
6
26
18
15
9
2
2
11
21
4
8
4
12
12
10
4
4
4
2
8
13
9
21
5
5
10
8
25
22
14
3
5
3
4
5
3
4
14
6
6
9
9
9
9
9
9
9
9
2
2
2
2
8
7
9
7
7
12
5
4
4
4
7
13
13
4
19
67
11
6
9
4
16
4
69
26
6
5
4
20
10
9
4
5
11
4
20
15
27
31
9
15
20
14
12
5
11
11
11
19
12
16
12
11
7
11
4
8
8
13
24
5
30
42
5
10
10
4
6
9
12
6
5
10
7
8
2
20
9
5
19
10
4
6
9
29
7
6
4
6
4
11
10
14
10
5
2
7
9
9
9
9
3
3
5
13
11
8
3
8
3
14
3
3
14
26
10
4
16
6
4
6
26
18
15
9
27
13
6
8
12
4
9
6
10
9
17
7
12
10
13
7
15
35
21
14
6
20
11
28
9
15
14
21
11
7
31
14
17
16
11
18
5
11
16
16
8
6
7
6
5
5
7
5
5
7
6
6
6
11
23
4
21
15
4
26
5
10
8
6
14
6
8
9
12
15
18
18
18
11
11
4
8
11
7
10
11
12
12
12
12
12
12
12
6
8
8
8
8
8
4
4
4
4
4
4
4
12
11
11
11
4
18
18
26
26
26
26
26
26
26
26
26
26
26
26
3
5
5
16
19
7
21
11
10
16
4
9
15
9
11
9
9
9
9
9
7
27
5
4
17
17
6
6
12
9
23
7
8
16
13
28
21
11
17
10
8
6
14
22
38
8
6
32
10
13
17
10
13
17
10
13
10
13
10
13
17
13
13
13
17
8
20
12
7
17
5
5
17
20
5
17
20
5
17
8
12
17
5
17
20
22
17
5
5
17
8
7
17
6
5
17
20
17
5
5
23
5
23
5
23
11
5
23
11
5
23
5
23
5
23
5
18
11
18
11
18
18
18
10
18
10
18
10
13
13
13
7
7
7
7
7
7
7
16
11
16
11
20
11
16
11
11
11
11
11
11
11
12
11
14
11
11
11
4
11
11
11
11
11
11
11
17
17
17
11
11
18
18
26
26
26
26
26
26
26
26
26
26
26
26
12
9
12
16
12
7
10
10
20
3
18
11
